location_num,x,y,district,province,images,year,month,day,avg_certainty,avg_percent_coverage,avg_percent_coverage_high,n_labelers,water_source_mode,log_coverage
1055351,32.484479507639726,-9.501866686821362,Nakonde,Muchinga,2,2023,9,3,2.5,0.00774678627294265,0.00774678627294265,1,TRUE,0.007716933997840501
1055607,32.785128139665126,-9.511225518999687,Nakonde,Muchinga,1,2021,9,11,1,0,0,1,TRUE,0
1055823,32.80334520228618,-9.520281030887274,Nakonde,Muchinga,2,2021,9,11,1,0,0,1,TRUE,0
1056458,32.611977461365655,-9.547254588476507,Nakonde,Muchinga,2,2023,8,13,1,0,0,1,FALSE,0
1057278,31.992296303267857,-9.582185868005462,Mungwi,Northern,2,2024,7,21,1,0,0,1,FALSE,0
1058716,32.62097884399966,-9.646755113972986,Nakonde,Muchinga,1,2017,9,24,1,0,0,1,TRUE,0
1059124,32.949105895346314,-9.665049331131256,Nakonde,Muchinga,3,2024,7,26,1.6666666666666667,0.014574405955877067,0,1,TRUE,0.014469220084078801
1061089,30.71593682638029,-9.738810911383794,Lunte,Northern,1,2023,6,22,3,0.5512162792406201,0.4034725533557561,1,TRUE,0.43903931950226077
1061103,31.86419020798378,-9.744565104760046,Mungwi,Northern,2,2024,8,3,1,0,0,1,TRUE,0
1062955,32.85789204401894,-9.80973875530474,Isoka,Muchinga,3,2023,9,26,1,0,0,1,TRUE,0
1063412,31.672445865638693,-9.825254409035551,Mungwi,Northern,2,2018,7,25,1,0,0,1,FALSE,0
1065748,32.100790949081244,-9.899012143617476,Mungwi,Northern,2,2023,7,20,2.5,0.1447419815540491,0.0571524435618551,1,FALSE,0.13517926799159646
1067563,32.72098298010213,-9.95436631377739,Isoka,Muchinga,3,2023,9,18,1,0,0,1,TRUE,0
1068107,32.35603261562764,-9.971950662644794,Chinsali,Muchinga,2,2023,9,21,1,0,0,1,TRUE,0
1069716,31.18814751861086,-10.030936200633487,Kasama,Northern,3,2023,8,10,2.6666666666666665,0.1258873707873085,0.023767514071993734,1,TRUE,0.11857149877079455
1368898,29.52004280716551,-8.426831311015706,Chiengi,Luapula,1,2019,6,19,1,0,0,1,FALSE,0
1369075,29.501950155279093,-8.435984142626006,Chiengi,Luapula,2,2020,7,14,1,0,0,1,TRUE,0
1369766,29.865189922325104,-8.469635301572547,Kaputa,Northern,1,2019,9,17,1,0,0,1,FALSE,0
1370073,29.91069376377177,-8.487366891835373,Kaputa,Northern,1,2016,6,13,1,0,0,1,FALSE,0
1370790,28.839742662282102,-8.539101031309139,NA,NA,2,2024,8,27,1,0,0,1,TRUE,0
1370973,29.203037982821986,-8.546244867632073,Chiengi,Luapula,2,2020,7,28,1,0,0,1,FALSE,0
1371299,29.620787799053204,-8.561714718037829,Kaputa,Northern,3,2024,9,1,1.6666666666666667,0.16644211347134466,0,1,FALSE,0.1539581871343097
1372029,29.99327135291676,-8.604175824102228,Nsama,Northern,1,2023,9,29,1,0,0,1,FALSE,0
1375619,29.10492011871872,-8.863168733087283,Chiengi,Luapula,1,2023,9,11,3,0.2008061202787067,0.1464514064604691,1,TRUE,0.18299309815849232
1375774,29.868204678327395,-8.867125040422703,Nsama,Northern,2,2019,9,17,1,0,0,1,FALSE,0
1376723,29.08720450856022,-8.944622559921685,Chiengi,Luapula,1,2023,9,11,2,0.0502432242407978,0,1,TRUE,0.049021779478628444
1377474,29.542037779988465,-8.996000247528176,Nsama,Northern,2,2024,8,19,1,0,0,1,TRUE,0
1378949,29.079098115895302,-9.116416297125282,Chiengi,Luapula,1,2019,6,19,4,1.6827485670865738,1.6827485670865738,1,FALSE,0.9868418537038403
1380598,28.907107802067152,-9.271042381114652,Nchelenge,Luapula,2,2023,9,24,1.5,0.0858101789634813,0,1,TRUE,0.08232641706627171
1380725,29.92599622482697,-9.273196545037257,Mporokoso,Northern,2,2023,9,29,1,0,0,1,FALSE,0
1380838,29.90788451957486,-9.282378118883324,Mporokoso,Northern,1,2017,10,6,1,0,0,1,TRUE,0
1380944,28.96185671918977,-9.29786609880738,Nchelenge,Luapula,1,2023,9,11,2,0.1044836663838756,0,1,FALSE,0.09937795552412051
1380953,29.71697656334324,-9.292916247048172,Mporokoso,Northern,1,2024,6,28,3,0.3094871985055912,0.3094871985055912,1,TRUE,0.269635609053463
1381555,29.917427677730096,-9.336502831757093,Mporokoso,Northern,1,2023,9,29,2,0.4999508055079606,0,1,TRUE,0.4054323112423268
1381653,29.535450891830568,-9.3484708649522,Mporokoso,Northern,2,2024,8,19,1,0,0,1,FALSE,0
1382032,29.81767233643764,-9.373445968980008,Mporokoso,Northern,1,2016,6,30,1,0,0,1,FALSE,0
1382159,29.92690045070855,-9.381593221454928,Mporokoso,Northern,2,2023,9,29,1,0,0,1,FALSE,0
1382877,28.89893995948585,-9.44284915921967,Nchelenge,Luapula,2,2023,9,24,1,0,0,1,FALSE,0
1382885,29.5725092303858,-9.438566245722452,Mporokoso,Northern,2,2024,8,19,1,0,0,1,TRUE,0
1383097,28.6076610259008,-9.46238468502223,Nchelenge,Luapula,2,2023,9,1,1,0,0,1,FALSE,0
1383230,28.789824651812904,-9.470543543440554,Nchelenge,Luapula,1,2017,8,16,1,0,0,1,FALSE,0
1383497,29.55464276655972,-9.483877994267983,Mporokoso,Northern,3,2024,7,11,1,0,0,1,FALSE,0
1386015,28.745171106995084,-9.6425442090868,Nchelenge,Luapula,2,2019,6,13,1,0,0,1,FALSE,0
1387372,28.836567380212497,-9.696311251686256,Nchelenge,Luapula,4,2023,9,11,1,0,0,1,FALSE,0
1387405,29.210092115566425,-9.694106314775375,Kawambwa,Luapula,1,2024,10,5,1,0,0,1,FALSE,0
1387617,28.99150761300894,-9.704485566032307,Kawambwa,Luapula,1,2019,7,23,1,0,0,1,FALSE,0
1388085,29.356021952725275,-9.720246762824832,Kawambwa,Luapula,1,2024,9,14,5,0.3370870674018373,0.2369823195739328,1,TRUE,0.2904934174668382
1389835,28.82809651598702,-9.8138809216084,Mwansabombwe,Luapula,1,2023,6,12,1,0,0,1,TRUE,0
1391361,29.35723535827419,-9.891949388142487,Kawambwa,Luapula,1,2024,9,14,4,0.7297509742714525,0.0886232769646929,1,TRUE,0.5479774526407077
1391659,29.412048427361665,-9.909634634926071,Kawambwa,Luapula,1,2024,7,24,4,0.0102923454194529,0.0102923454194529,1,TRUE,0.010239739880684561
1393122,29.585839233777005,-9.989663439970467,Kawambwa,Luapula,1,2019,7,30,1,0,0,1,FALSE,0
3438956,31.635290323393825,-10.036950022029565,Mungwi,Northern,2,2024,6,12,1,0,0,1,FALSE,0
3439863,32.684563979474724,-10.0757857596963,Isoka,Muchinga,2,2023,9,18,3.5,0.41264390703370585,0.32190182433504644,1,TRUE,0.3454630599347431
3440066,31.279288009561096,-10.080497402730163,Mungwi,Northern,6,2024,8,3,1.1666666666666667,0.016713515698224168,0,1,FALSE,0.01657538190415995
3443208,32.15499166802374,-10.174335310849436,Chinsali,Muchinga,2,2024,9,3,3.5,0.27086412335442206,0.01750509503095335,1,TRUE,0.23969708118523764
3444557,31.305990686101826,-10.207206151233638,Kasama,Northern,4,2024,8,3,3.75,0.04679503754341297,0.0370778347899837,1,FALSE,0.04573315106595388
3445924,31.789603759754456,-10.245528750023048,Mungwi,Northern,1,2024,7,21,2,0.0204374045847805,0,1,TRUE,0.020231363400014885
3446636,32.12735997517984,-10.264697468896808,Chinsali,Muchinga,3,2024,9,3,1,0,0,1,TRUE,0
3447282,31.059158063375044,-10.278147738333155,Kasama,Northern,7,2024,9,29,1.5714285714285714,0.08005234700854902,0.005393228162165786,1,FALSE,0.07700950941388258
3447651,31.259915892319512,-10.288328244646497,Kasama,Northern,10,2024,8,3,4.1,0.5577361769974835,0.5137430314266157,1,TRUE,0.44323359870517137
3448011,31.40593043315906,-10.298121050971918,Kasama,Northern,1,2023,6,14,2,0.3212960729458009,0,1,TRUE,0.27861312831963947
3448757,32.87612646029777,-10.320113128647003,Isoka,Muchinga,1,2023,10,1,1,0,0,1,FALSE,0
3449974,30.81224751556092,-10.348880698415956,Kasama,Northern,2,2024,7,29,1,0,0,1,FALSE,0
3450343,31.6795646367892,-10.36264840885022,Mungwi,Northern,1,2024,6,12,1,0,0,1,FALSE,0
3452668,31.35049313576777,-10.424415020767784,Kasama,Northern,1,2024,6,12,5,0.0460869669187677,0.0460869669187677,1,FALSE,0.045056504556354696
3454042,32.08112624108865,-10.463522014558814,Chinsali,Muchinga,1,2024,9,3,1,0,0,1,FALSE,0
3458830,31.925402180362752,-10.580591285397292,Chinsali,Muchinga,2,2024,9,16,1,0,0,1,TRUE,0
3475663,30.094929228012965,-10.93037319885476,Chilubi,Northern,2,2024,8,11,1.5,0.0193090830389551,0,1,TRUE,0.01912502820810919
3477121,30.99993191506025,-10.964755968941938,Kanchibiya,Muchinga,1,2022,7,31,1,0,0,1,TRUE,0
3478587,33.031466179945376,-10.99845060223154,Chama,Eastern,1,2023,10,4,2,0.014338019648023,0,1,TRUE,0.014236202329403362
3481688,30.47786999262112,-11.051240656305708,Chilubi,Northern,2,2017,9,15,1,0,0,1,TRUE,0
3482107,31.200577289683576,-11.065445047565865,Kanchibiya,Muchinga,3,2022,8,6,1.6666666666666667,0.0066500727515108335,0.0013202128328292332,1,TRUE,0.00662805856112762
3483238,31.27363031329536,-11.092991719988104,Kanchibiya,Muchinga,4,2024,6,12,1,0,0,1,FALSE,0
3483924,31.044711661724858,-11.109671732981573,Kanchibiya,Muchinga,2,2024,7,21,1,0,0,1,TRUE,0
3484254,30.39499439439374,-11.113784768736451,Chilubi,Northern,2,2023,7,15,1,0,0,1,FALSE,0
