id,YCoordinate,XCoordinate
id_5248158,-17.544524944113974,27.22047063686654
id_5243473,-17.41795425508308,26.758945150457656
id_5231361,-17.062242796641613,25.83848894593836
id_5221548,-16.78452672654093,26.421941548761698
id_5220898,-16.767158802200488,26.79731294104632
id_5202824,-16.24218118721258,26.43290906315308
id_5201012,-16.159866686443102,23.497835682575936
id_5195343,-15.97834120818484,28.022343126516525
id_5163870,-14.91910517599202,28.333244920123207
id_5154408,-14.671856872819788,28.80524949334999
id_5141334,-14.191876351248544,28.931072957460643
id_5137204,-14.024425973672358,28.29087957310187
id_5135560,-13.960586352130465,28.39234178473214
id_5128947,-13.697584493788757,22.03378570068303
id_5120354,-13.482864133500662,25.885736834311164
id_3544577,-13.37656387677797,32.63461502925234
id_3540496,-13.272569985232977,30.346149305899964
id_5110886,-13.159418777601257,27.44659608504697
id_5084882,-12.273510071122654,27.22436045318909
id_5079181,-11.9744017538458,26.342333532422355
id_3491039,-11.296178146402184,30.59476957195517
id_5044200,-10.436991408832156,29.497282847428025
id_3440066,-10.080497402730163,31.279288009561096
id_1381749,-9.362285022070834,28.74375166591913
id_1047544,-9.257862353620286,32.64871728354964
